typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","586","PAK","Pakistan","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","35","false","5","u","35","false","12.172","true","0","false","12285.137",,"12285.137","4","true","false",
"C","A","20250101","2025","52","2025","591","PAN","Panama","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","231958.78","true","8","kg","76385","false","91110","false","91110","false","76132689",,"76132689","2","false","true",
"C","A","20250101","2025","52","2025","600","PRY","Paraguay","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13317.99","true","8","kg","6032.241","false","6032.241","false","0","false","4371183.421","4305394.79","4371183.421","2","false","true",
"C","A","20250101","2025","52","2025","620","PRT","Portugal","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","775.37","true","-1","N/A","0","false","219.751","true","0","false","341572.465",,"341572.465","6","false","true",
"C","A","20250101","2025","52","2025","642","ROU","Romania","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","125","false","5","u","125","false","50.6","false","0","false","175582.94","168505.69","175582.94","0","false","true",
"C","A","20250101","2025","52","2025","688","SRB","Serbia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","84","false","5","u","84","false","24.261","true","0","false","53773","52570","53773","4","false","true",
"C","A","20250101","2025","52","2025","703","SVK","Slovakia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","594","false","5","u","594","false","267.575","true","0","false","200319.708","194789.682","200319.708","4","false","true",
"C","A","20250101","2025","52","2025","705","SVN","Slovenia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1499","false","5","u","1499","false","308.486","false","0","false","574012.14",,"574012.14","0","false","true",
"C","A","20250101","2025","52","2025","710","ZAF","South Africa","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","52550","false","5","u","52550","false","0","true","0","false",,"10541337.211","10541337.211","4","false","true",
"C","A","20250101","2025","52","2025","724","ESP","Spain","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5690.909","true","-1","N/A","0","false","1932.486","false","0","false","2009267.718",,"2009267.718","2","false","true",
"C","A","20250101","2025","52","2025","752","SWE","Sweden","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1798","false","5","u","1798","false","866.26","true","0","false","1813154.357",,"1813154.357","4","false","true",
"C","A","20250101","2025","52","2025","818","EGY","Egypt","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","94.957","true","-1","N/A","0","false","30.88","true","0","false","31166.355",,"31166.355","6","true","false",
"C","A","20250101","2025","52","2025","826","GBR","United Kingdom","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","86942","false","5","u","86942","false","23717.811","true","0","false","21712438.318",,"21712438.318","4","false","true",
