,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,port_full,distance,co2
799336,845020,5700,10,01,2024,12,0,0,0,0,0,0,0,115777,0,0,115777,29188,115777,29188,1001,19776.513077949607,0.0
799337,845020,5700,10,03,2024,12,264949,0,0,264949,44895,264949,44895,4053500,0,0,4053500,1070995,4043400,1067295,1003,19777.210656566334,3551591489.7061825
799338,845020,5700,10,12,2024,12,0,0,0,0,0,0,0,72895,72895,14868,0,0,0,0,1012,19771.475786102517,0.0
799339,845020,5700,13,03,2024,12,4119392,0,0,4119392,1340523,4119392,1340523,25990918,0,0,25990918,8487341,25990918,8487341,1303,19663.71566713922,105438652469.04187
799340,845020,5700,14,01,2024,12,4300,0,0,4300,2804,4300,2804,5530759,0,0,5530759,1810387,5530759,1810387,1401,19428.595003866565,217911121.5633674
799341,845020,5700,16,01,2024,12,6293711,0,0,6293711,1948766,6293711,1948766,56943007,0,0,56943007,17670426,56943007,17670426,1601,19013.219662419055,148209264114.61493
799342,845020,5700,17,03,2024,12,2329128,0,0,2329128,733914,2329128,733914,16527785,0,0,16527785,5842471,16527785,5842471,1703,19022.34637113229,55843065258.49274
799343,845020,5700,18,01,2024,12,0,0,0,0,0,0,0,453399,0,0,453399,154551,453399,154551,1801,18426.199929383,0.0
799344,845020,5700,18,03,2024,12,2376124,0,0,2376124,796375,2376124,796375,12012381,0,0,12012381,3944383,12012381,3944383,1803,18893.35511925648,60184782732.39152
799345,845020,5700,19,01,2024,12,0,0,0,0,0,0,0,88464,0,0,88464,27836,88464,27836,1901,18644.696179435414,0.0
799346,845020,5700,20,02,2024,12,242284,0,0,242284,24964,242284,24964,2874171,0,0,2874171,308620,2874171,308620,2002,18653.835136477017,1862697361.388049
799347,845020,5700,20,06,2024,12,0,0,0,0,0,0,0,53589,0,0,0,0,0,0,2006,18653.631136646567,0.0
799348,845020,5700,27,04,2024,12,9529851,0,0,9529851,3202076,9529851,3202076,59005042,0,0,59005042,18095625,58952842,18076481,2704,10674.961095071822,136728146893.8528
799349,845020,5700,27,09,2024,12,8626687,0,0,8626687,2845836,8626687,2845836,89819826,0,0,89819826,27601792,89819826,27601792,2709,10674.961095071822,121516754331.81924
799350,845020,5700,28,09,2024,12,0,0,0,0,0,0,0,8573,0,0,8573,2839,8573,2839,2809,10028.77593686844,0.0
799351,845020,5700,28,11,2024,12,10481,0,0,10481,2884,10481,2884,158898,0,0,158898,49789,158898,49789,2811,10046.74200897614,115899215.81554875
799352,845020,5700,29,04,2024,12,0,0,0,0,0,0,0,82371,0,0,82371,22282,82371,22282,2904,9620.829889062636,0.0
799353,845020,5700,30,01,2024,12,498909,0,0,498909,149122,498909,149122,6242731,0,0,6242731,1902662,6242731,1902662,3001,9526.354065239659,5682355883.666674
799354,845020,5700,30,02,2024,12,1483854,0,0,1483854,496419,1483854,496419,9818713,0,0,9818713,3062633,9602236,3047933,3002,9561.769581602828,18986576375.718777
799355,845020,5700,35,01,2024,12,59385,0,0,0,0,0,0,621219,0,0,0,0,0,0,3501,24380.013492499736,0.0
799356,845020,5700,36,04,2024,12,9006,0,0,0,0,0,0,333713,0,0,91140,28833,91140,28833,3604,10541.191735416765,0.0
799357,845020,5700,38,01,2024,12,0,0,0,0,0,0,0,470266,0,0,0,0,0,0,3801,24380.013492499736,0.0
799360,845020,5700,41,02,2024,12,0,0,0,0,0,0,0,12540,12540,5094,0,0,0,0,4102,23187.632568251815,0.0
799361,845020,5700,41,10,2024,12,24714,0,0,0,0,0,0,130726,0,0,0,0,0,0,4110,23008.511291281877,0.0
799362,845020,5700,49,09,2024,12,593793,0,0,593793,130950,593793,130950,3431105,0,0,3431105,914371,3426105,913028,4909,17976.190706469046,9415928692.048487
799363,845020,5700,52,01,2024,12,88362,0,0,88362,19789,88362,19789,431524,0,0,431524,114826,431524,114826,5201,18401.999381665668,1456628663.0551276
799364,845020,5700,53,01,2024,12,59567,0,0,59567,19920,59567,19920,1334577,0,0,1334577,437183,1334577,437183,5301,18890.7858055673,1505217812.9876025
799365,845020,5800,09,01,2024,12,0,0,0,0,0,0,0,7324,0,0,0,0,0,0,0901,19150.238487995735,0.0
799366,845020,5800,10,01,2024,12,0,0,0,0,0,0,0,465235,0,0,465235,64351,465235,64351,1001,18907.768927414254,0.0
799367,845020,5800,10,03,2024,12,4871472,0,0,4871472,820055,4871472,820055,70916394,0,0,70916394,10910582,70916394,10910582,1003,18908.46650603098,69776921252.71457
799368,845020,5800,13,03,2024,12,52197,0,0,52197,8798,52197,8798,734813,0,0,734813,150716,734813,150716,1303,18794.971516603866,744111717.3138638
799369,845020,5800,14,01,2024,12,171792,0,0,171792,28880,171792,28880,2447637,0,0,2447637,444913,2447637,444913,1401,18559.850853331212,2412038216.8989244
799370,845020,5800,16,01,2024,12,0,0,0,0,0,0,0,1777762,0,0,1777762,316816,1777762,316816,1601,18144.475511883702,0.0
799371,845020,5800,17,03,2024,12,755003,0,0,755003,116014,755003,116014,20772835,0,0,20772835,3030860,20772835,3030860,1703,18153.60222059694,9477324036.0915
799372,845020,5800,18,01,2024,12,335650,0,0,335650,55643,335650,55643,11422272,0,0,11422272,1793030,11422272,1793030,1801,17557.455778847645,4396272803.560888
799373,845020,5800,18,03,2024,12,279750,0,0,279750,44800,279750,44800,851629,0,0,851629,157350,851629,157350,1803,18024.61096872113,3633761571.2941794
799374,845020,5800,19,01,2024,12,29582,0,0,29582,5152,29582,5152,995199,0,0,995199,195060,995199,195060,1901,17775.952028900057,412117671.83801895
799375,845020,5800,20,06,2024,12,0,0,0,0,0,0,0,75271,0,0,0,0,0,0,2006,17784.88698611121,0.0
799376,845020,5800,27,04,2024,12,9980410,0,0,9980410,1587869,9980410,1587869,136308365,0,0,136308365,19862957,136308365,19862957,2704,9806.216944536469,70069445520.7688
799377,845020,5800,27,09,2024,12,3078362,0,0,3078362,485971,3078362,485971,25575253,0,0,25575253,3792888,25575253,3792888,2709,9806.216944536469,21444916746.389996
