,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,port_full,distance,co2
978218,852852,5700,41,03,2025,12,0,0,0,0,0,0,0,5369,5369,672,0,0,0,0,4103,23098.554417499858,0.0
978219,852852,5700,41,10,2025,12,0,0,0,0,0,0,0,27831,27831,90,0,0,0,0,4110,23008.511291281877,0.0
978220,852852,5700,41,15,2025,12,0,0,0,0,0,0,0,228841,228841,2652,0,0,0,0,4115,23008.511291281877,0.0
978221,852852,5700,45,03,2025,12,0,0,0,0,0,0,0,2042,2042,6,0,0,0,0,4503,23008.511291281877,0.0
978222,852852,5700,49,09,2025,12,4405,0,0,4405,334,4405,334,1009998,0,0,1009998,63078,655757,48981,4909,17976.190706469046,24016190.783842646
978223,852852,5700,49,13,2025,12,136743,136743,1407,0,0,0,0,139803,139803,2576,0,0,0,0,4913,17846.33674807397,0.0
978224,852852,5700,52,01,2025,12,2009483,0,0,2009483,150768,2009483,150768,36608628,0,0,36491147,2588560,36317001,2571256,5201,18401.999381665668,11097730571.099878
978225,852852,5700,52,03,2025,12,551202,0,0,551202,56316,551202,56316,1832066,0,0,1832066,148407,1824371,148384,5203,18422.16366720927,4149850276.3302293
978227,852852,5700,53,01,2025,12,793098,0,0,788898,293981,672468,290881,18416127,0,0,18411927,2958330,18284798,2954531,5301,18890.7858055673,22214128407.62592
978228,852852,5700,53,09,2025,12,118943,118943,2163,0,0,0,0,873609,873609,20750,0,0,0,0,5309,18890.7858055673,0.0
978229,852852,5700,53,10,2025,12,9000,0,0,9000,27,0,0,20250,0,0,20250,47,0,0,5310,18874.72602968896,2038470.411206408
978230,852852,5700,54,01,2025,12,1452208,1452208,19251,0,0,0,0,5540907,5540907,72601,0,0,0,0,5401,18966.064901479585,0.0
